GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
URLValidatorInCorrect,finalprojectB,DomainValidator.ArrayType,89,0,0,0,9,0,2,0,2,0
URLValidatorInCorrect,finalprojectB,InetAddressValidator,245,0,64,0,64,0,38,0,6,0
URLValidatorInCorrect,finalprojectB,RegexValidator,258,0,42,0,56,0,29,0,8,0
URLValidatorInCorrect,finalprojectB,DomainValidator.new Object() {...},61,0,0,0,1,0,1,0,1,0
URLValidatorInCorrect,finalprojectB,ResultPair,13,0,2,0,4,0,2,0,1,0
URLValidatorInCorrect,finalprojectB,DomainValidator.IDNBUGHOLDER,10,0,0,0,3,0,2,0,2,0
URLValidatorInCorrect,finalprojectB,DomainValidator,6568,0,85,0,123,0,66,0,18,0
URLValidatorInCorrect,finalprojectB,UrlValidator,271,149,73,13,88,35,51,10,9,9
